Aagaard, Jacob|Jacob_Aagaard
Zadrima, Aldo|Aldo_Zadrima
Zannoni, Fermo|Fermo_Zannoni
Zatonskih, Anna|Anna_Zatonskih
Zatulovskaja, Tat'jana Jakovlevna|Tat'jana_Jakovlevna_Zatulovskaja
Zatulovskaja, Tatjana Jakovlevna|Tat'jana_Jakovlevna_Zatulovskaja
Zatulovskaya, Tatiana|Tat%27jana_Jakovlevna_Zatulovskaja
Zhang, Zhong|Zhang_Zhong
Zhaoqin, Peng|Peng_Zhaoqin
Zhong, Zhang|Zhang_Zhong
Zichichi, Alvise|Alvise_Zichichi
Zimina, Olga|Olga_Zimina
Znosko-Borovskij, Evgenij|Evgenij_Znosko-Borovskij
Znosko-Borovsky, Eugene|Evgenij_Znosko-Borovskij
Zukertort, Johannes|Johannes_Zukertort
Zvorykina, Kira|Kira_Zvorykina
Zygalka, Sjargej|Sjargej_%C5%BDygalka
Zúñiga, Julio Granda|Julio_Granda_Zúñiga
iTregubov, Pavel V|Pavel_Vladimirovi%C4%8D_Tregubov
iVolpert, Larisa|Larisa_Il%27ini%C4%8Dna_Vol%27pert
iVyzmanavin, Alexey|Aleksej_Borisovi%C4%8D_Vy%C5%BEmanavin
l'Ami, Erwin|Erwin_l'Ami

http://it.wikipedia.org/wiki/Categoria:Scacchisti_sovietici
